,Tweet_Times,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets
405,2022-03-24,"#ResistanceUnited 
According to the Justice Department, the Russians were employed by a Russian Ministry of Defense research institute and Russia's Federal Security Service (FSB).
Four Russians indicted in US for energy sector hacks https://t.co/69RB1oKojf via @FRANCE24",6,3
406,2022-03-24,"Edinburgh-based HGV driver Robert Marshall is transporting a lorry load of aid to Moldova, where thousands of Ukrainians have fled since war broke out. https://t.co/Vheo9GeU6B",5,2
407,2022-03-25,"@rhonda_harbison @POTUS #FionaHill says that Trump emboldened Putin to invade Ukraine by treating the country like a ‘playground.’ She said Trump's foreign policy had not been driven by concern about the US national interest, but by personal interests and impulses. https://t.co/cA6HpoqPKZ
@reallizusa",8,2
408,2022-03-24,"https://t.co/ZOUWo95flf  
#Trump  #HillaryClinton in a sprawling case that accuses her of conspiring w/ dozens of other actors frequent targets of Trump’s conspiracy theories &amp; rage to topple his presidency. About time! I anticipated it since 2016!",2,2
409,2022-03-24,Here are four takeaways from President Biden's day of emergency summits with Western leaders https://t.co/tfgog7yQld,35,7
410,2022-03-24,"The U.S. is trying to cripple the #Russia economy by cutting off its oil and natural gas industry. The West should not bend toward other dictatorships with questionable human rights records in a misguided effort to fill the void

My latest for @NBCNews 

https://t.co/VVLd6baZ3v",2,3
411,2022-03-24,"This is quite the kicker:

""New Lines sent a detailed list of questions to Tsargrad about this investigation. A spokesperson compared our publication to the Nazi party’s Völkischer Beobachter.

The spokesperson then invited New Lines to meet in Moscow.""

https://t.co/JpsjvAcMIM",32,18
412,2022-03-24,"Ukraine’s military has begun a counteroffensive that has altered the central dynamic of the fighting: the question is no longer how far Russian forces have advanced, but whether the Ukrainians are now pushing them back. https://t.co/wPUfuGhksb",95,26
413,2022-03-24,"Donald Trump is suing Hillary over Russian collusion?

Awesome. I can’t wait for discovery.

""Russians make up a pretty disproportionate cross-section of a lot of our assets"" 
- Don Jr

“We don’t rely on American banks. We have all the funding we need out of Russia.”
- Eric Trump",645,155
414,2022-03-25,"In case you missed it earlier, Donald is suing Hillary over Russia.",594,88
415,2022-03-24,"If Putin really loves Russia he will call an end to the war. It's imperative that  never let them get away with what he's done to Ukraine and it's people. There is no forgiveness for murder, genocide or war crimes. Give Ukraine the ability to win @NATO @POTUS",3,2
416,2022-03-24,"Today on #TheGreatAmericaShow, I talk with Chad Robichaux. He praises the Ukrainians as Russia bombs them day &amp; night &amp; they know they’re on their own. Chad is working w/ https://t.co/FekUjyhFZl to evacuate people from Ukraine. Join Lou with @ChadRobo at https://t.co/ceDJ0yDsUA!",53,18
417,2022-03-25,"The Biden administration warned American companies to shore up cybersecurity based on evolving intelligence that Russia could be planning a cyberattack. 

@tyadkisson shares how companies find it too expensive to find proper talent to fill these positions on #NewsyInTheLoop. https://t.co/hBihxQfXyz",0,0
418,2022-03-24,"Trans women are reportedly being denied passage to safer countries, despite their legal status as women and the danger posed by Russia’s transphobic policies. #MsReads via @guardian
https://t.co/0StVpBaS6G",8,2
419,2022-03-25,Hey @TuckerCarlson how is russia paying you now days? 🤣😂🤣😂🤣😂🤣😂 https://t.co/BbVh1ocZeE,1,1
420,2022-03-24,"@SenatorLankford He put NATO back together, unified our allies, told the world what Putin was going to do before it happened to bring them in, has provided Ukraine with military aid, sanctioned Russia and threatened Putin directly. 

What isn’t he doing? Telling us Putin is brilliant and savvy?",11,2
